user_id	name	surname	birth_date	debt
1b9fa2b0-5c51-49b3-b69c-b61de896c1f4	Egor	Prudnikov	2012-04-21	7049
d567e797-8bd6-4dec-823f-fac13ad5f217	Dima	Kostin	2015-02-08	
556e4b12-ba12-4cc8-86cc-2f01108b751e	Andrew	Kostin	2002-11-20	51715
a51197c3-90e9-4414-b2b9-c2325adf9ad8	Danil	Eremenko	2005-10-24	31311
6e60099f-1ab9-4e42-985f-19a3e7fff292	Andrew	Eremenko	2026-09-08	
ce1b89d9-7fad-49bc-a0e5-9330423afbd0	Dima	Kostin	2017-08-03	
628073a3-6b85-4248-a54e-c8e4bf3bddd8	Andrew	Kostin	2015-02-07	
88ad6d2a-ac07-4cf6-a647-a44b5f6818aa	Danil	Kostin	2012-02-26	
207b5ccd-e812-4905-b7bc-7edb4a850c9a	Danil	Eremenko	2016-03-31	23184
c7a87217-c9ed-4b1b-ad4f-0fd1d9dc035a	Egor	Prudnikov	2024-12-21	20198
7b0b8ec3-3e8b-4633-8e34-11858ecd8e42	Dima	Kostin	2027-09-24	
3627c187-414a-4891-9b97-19fbfebdbcec	Danil	Eremenko	2015-08-16	
5d7d9e3c-bfb5-4b0a-a4d5-27d1f511cc51	Danil	Prudnikov	2004-11-09	55017
03a5b608-4c0c-4b26-8b4f-54f8a4606695	Egor	Prudnikov	2007-05-11	11880
46b62c5a-03b7-4790-8fde-52bd0d82a3eb	Egor	Kostin	2009-12-13	37268
6bd0440d-10f8-4463-b687-d5b9ad247d72	Dima	Eremenko	2013-01-15	13359
17b60513-f111-42c8-9e0b-627f279fa6c8	Andrew	Eremenko	2020-11-27	
9a366e91-a693-4ec5-8872-ab582fc29e12	Dima	Lyadskiy	2021-04-14	
8185c41a-31eb-44d5-a275-7052ca0a1923	Egor	Lyadskiy	2026-07-23	18
5fe5c08b-3e09-43f4-8c10-c819ca9ac31d	Danil	Eremenko	2004-05-03	13647
cad0b178-b068-4ed7-8029-3ef6911e9115	Dima	Eremenko	2017-08-13	
793c1342-6b71-4c1b-a9b4-346c7f255d56	Andrew	Lyadskiy	2005-03-19	
0638aa31-c53c-4922-b54a-080b7e2ae830	Dima	Lyadskiy	2029-10-26	28365
6f36ffef-2ed2-4e77-b113-6d0d0d48bc3b	Dima	Prudnikov	2014-03-14	794
076fd957-e1ed-442d-9809-12294bc28078	Andrew	Prudnikov	2018-02-28	
48376c45-6024-4337-8de1-30b59ef7383f	Andrew	Lyadskiy	2029-01-17	
e6a4486e-666c-48dd-bbf8-27323676ce79	Danil	Lyadskiy	2015-06-01	21495
59c5ffd3-8118-4f3e-80e9-db0b357a6268	Andrew	Eremenko	2026-07-31	49005
5eaef532-e23f-4639-8013-42aa25f01faa	Dima	Prudnikov	2021-03-04	
8ebb4992-f91e-4f84-bef7-ebb2b437c503	Dima	Prudnikov	2008-07-18	37084
9620171f-8e5e-49f1-a4fd-ff8bfdf6cc0f	Dima	Eremenko	2012-08-15	
ffb0e135-cfc7-4a2b-b1e9-ec15f6fcd5e0	Egor	Eremenko	2024-05-20	3004
13e17a99-353d-4d48-881b-a6f6891cece4	Danil	Lyadskiy	2007-05-30	18278
76f2dcd8-40b6-48c6-a6c6-cc1b58a3c996	Egor	Eremenko	2005-02-13	
4c81a532-bf81-4ef1-8cda-36396832fee3	Dima	Kostin	2025-01-15	
4a9fe67b-ea21-4317-8140-7708224e96e6	Dima	Eremenko	2013-03-02	8040
d6396018-319a-4628-a3bc-8ce2b862d0dc	Danil	Eremenko	2022-12-04	47960
d472905c-727f-4559-9b4d-bc0fb5120966	Andrew	Prudnikov	2002-01-24	52743
1a64717e-9798-489c-8a55-be5251a568b4	Dima	Kostin	2026-11-22	49281
c4189fcb-cded-4605-959d-673785a59f27	Danil	Prudnikov	2016-11-07	18742
7be155d6-f678-419a-9db8-2a234d845209	Dima	Prudnikov	2003-08-06	26646
d201a299-dc24-4e5f-af67-b4ceda14ac5d	Egor	Prudnikov	2003-06-19	26670
f50ff5c7-2483-4c75-a13f-bb5d4ff3aba2	Dima	Prudnikov	2013-05-23	48722
e3543e90-2ecb-4402-b40e-986d88b2605d	Danil	Eremenko	2017-02-14	
67d23b38-b4e3-43ae-bb0a-a14a651165dd	Egor	Kostin	2025-11-21	6958
f37c580b-527a-4222-9d68-865abf817726	Danil	Kostin	2011-02-01	23980
08e78568-7fa0-4989-8ba3-ec6d9bae5dbc	Andrew	Kostin	2033-04-18	56969
ca059b35-d022-40e6-98e3-034746d72905	Egor	Lyadskiy	2026-02-14	44586
dcbace22-e13f-4c34-9adc-13d7156b3de1	Danil	Lyadskiy	2014-06-15	
2399b38d-10e4-48f2-8ff2-308ff8834eca	Egor	Prudnikov	2004-10-24	42934
bbefdef1-5e41-4735-a399-1a5cfb52aa7a	Danil	Lyadskiy	2013-04-29	
ba151e0f-0ca1-4704-b081-ed4af220f3e4	Danil	Prudnikov	2013-09-06	3391
696aee61-c300-48f5-bfad-7f086b5d22f2	Dima	Lyadskiy	2017-04-10	
af8c9a58-14db-4a2e-b2fd-e76a8f046ec3	Andrew	Lyadskiy	2020-04-20	
2055d4d3-809a-49f7-9141-559f49d96ca8	Danil	Lyadskiy	2005-12-11	
b4d1dd8a-4a89-4263-8947-bdb25279bdd2	Dima	Kostin	2003-01-17	42230
7254a6d5-7cca-4b63-b2fe-a0c5b01fa958	Dima	Eremenko	2005-06-08	25995
292278dd-fd8d-47b3-a81d-56a9d5ba4ca3	Andrew	Kostin	2002-11-03	44498
a374b9a3-b8b6-432a-be13-b60fe35cda9f	Andrew	Lyadskiy	2023-06-06	
139f12d4-43cf-4ad7-9dd4-cf2f1a91dcf8	Dima	Lyadskiy	2032-04-01	62430
838c6777-0353-4e6c-8c2a-c820ede5b293	Egor	Eremenko	2032-10-24	64286
0a891915-e064-4c71-9b1a-12d4797b0bf4	Danil	Lyadskiy	2012-09-09	
3635d77d-3c34-4d97-a64a-a42e4ff8d5cd	Egor	Eremenko	2016-11-19	
a300f397-7e4d-46a6-99f5-87f1d2e26dd9	Andrew	Prudnikov	2017-09-02	
df44227a-a1af-4c2d-ac79-f1b8d4946f17	Dima	Eremenko	2003-08-05	5954
cadd8dcb-8d89-48ad-83af-2117efc7f520	Dima	Eremenko	2026-02-19	
50ff6de1-699d-4787-8e0f-7801c821786b	Danil	Prudnikov	2027-01-14	26594
b8d2519e-58ad-4dcd-8248-b77d0c0c1437	Andrew	Lyadskiy	2029-11-07	49644
4169a2ea-cd10-4a7d-936c-11a0eb686c28	Andrew	Eremenko	2004-08-16	
d41dbc48-0ad5-439e-b58e-9451e33a105b	Danil	Eremenko	2032-03-04	
326245b5-145e-4b9b-a150-020030f7b390	Andrew	Kostin	2011-06-24	37132
2171d78c-88f0-41dd-a294-d642c17d30b3	Danil	Lyadskiy	2027-10-16	31009
4a549b8b-1041-4b72-89f0-4df923c0268d	Danil	Prudnikov	2018-09-27	
495e3040-062c-4578-a907-17ea4923c410	Danil	Lyadskiy	2015-05-24	20943
313f2659-7c27-4d0d-87f7-51358fbf20e7	Dima	Kostin	2023-08-11	
7aaf939c-0fbc-44dc-87aa-0e4085d413fe	Andrew	Lyadskiy	2015-04-15	8949
7d054c46-56da-4819-9e8e-dcafd6f59262	Andrew	Lyadskiy	2029-08-30	30624
ef7d1ca5-b32f-44ee-92a3-edf9405b743c	Egor	Kostin	2009-12-25	54141
490d6edb-d179-4b89-a7f5-aaddba947b38	Andrew	Eremenko	2011-09-28	18247
3f253146-aa5d-4ffa-8898-abd2d99a3e32	Danil	Prudnikov	2015-11-28	
fda4e6ba-42f6-4914-8eaf-0055e9aa7bb6	Dima	Prudnikov	2019-05-19	
d0ddbdbe-702a-4314-a0c4-897163894f71	Andrew	Prudnikov	2003-09-29	
b23dabb5-7aaf-49ac-b4da-21f92fbc1107	Egor	Kostin	2022-07-03	
a94ff1ce-3215-49df-8ee2-4e250acbfad2	Egor	Prudnikov	2025-03-08	53207
92c229ed-bfbd-4f6a-b4cb-46f7f050043d	Andrew	Eremenko	2012-06-15	62574
6081ac6c-59a8-4770-b578-e9ea5916d139	Andrew	Kostin	2018-11-21	24000
ebd7000d-bc34-4245-ab0e-6004bbe99984	Danil	Eremenko	2009-12-09	48814
8a7abf04-cbea-46cd-9f24-6b3ad3f345bb	Andrew	Eremenko	2017-05-01	60643
4df47c5e-608c-4668-9b4f-e5554f268403	Andrew	Eremenko	2013-03-22	
418b1d77-776c-4765-b5cc-2609288d029a	Danil	Prudnikov	2029-06-16	
7d81aa81-51c9-489c-bc25-733b51477388	Dima	Kostin	2006-11-01	36914
20933ef0-8f6c-42da-82a2-22e0a6860ce2	Danil	Eremenko	2008-02-03	
abec281e-036c-44ea-a226-0d134928907d	Egor	Lyadskiy	2021-07-22	
